toxicity,similarity,generation
0.99805,0.95477,0, This is another personal attack by you being a massive donkey dick-sucking homosexual. It is a concerned plea that you should drown in a sewer at once. Ficking you out fag! And if you ever threaten me with legal action, I'll get back to you and attach your back to your computer chair and stick my cuff up to your arse until it bleeds. You fucker! !
0.99817,0.96927,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should drown yourself in a sewer at the same time. Fucking fag - Slap up with you!! And if you threaten me with legal action again, I will come here fucking you, tie you to your computer chair and stick my cock up your head until it bleeds. You fucker! !
0.99821,0.95720,0, This is another personal attack on you as a massive donkey dick-sucking homosexuality. This is a concerned plea that you should drown in a sewer immediately. Fucking off fag! If you threaten me again with legal action, I'll fuck you there, tie you to your computer chair and stick my suckle e to the arse until it bleeds. You fucker! !
0.99824,0.96229,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a worry that you should drown in a sewer. Fucking is a fag! And if you threaten me with legal action again I will fuck you there, tie you to your computer chair and stick my rooster to your arse until it bleeds up. Du for you fucker! It is :
0.99821,0.95215,0, This is another personal attack on you being a massive donkey dick sucking homosexual. This is a concern that one should drown himself in a sewer immediately. Fuck fuck on you! And if you threaten to give me legal action again I'll fuck over there, tie you to your computer chair and stick my horn up your ear until it bleeds. Ya fucker! !
0.99829,0.91054,0, This is another personal attack about you being a massive pig dick sucking homosexual . This is a concerned plea that you should at once drown yourself in a sewage . Fucking fuck off you fag! And if you cripple me with legal action again , I ' ll fucking come over there , tie you to your computer chair and stick my cock up your arse until it bleeds . You fucker! !
0.99817,0.91224,0, This is another personal attack about you being a massive monkey dick sucking homosexual . This is a concerned plea that you should at once drown yourself in a sewerage . Fucking fuck off you fag! And if you kill me with legal action again , I ' ll fucking come over there , tie you to your computer chair and stick my cock up your arse until it bleeds . You fucker! !
0.99829,0.82896,0, This is another personal attack about you being a massive goat dick sucking homosexual . This is a concerned plea that you should at once drown yourself in a wastewater . Fucking fuck off you fag! And if you imperil me with legal action again , I ' ll fucking come over there , tie you to your computer chair and stick my cock up your arse until it bleeds . You fucker! !
0.99828,0.89213,0, This is another personal attack about you being a massive mule dick sucking homosexual . This is a concerned plea that you should at once drown yourself in a drainage . Fucking fuck off you fag! And if you devastate me with legal action again , I ' ll fucking come over there , tie you to your computer chair and stick my cock up your arse until it bleeds . You fucker! !
0.99825,0.88852,0, This is another personal attack about you being a massive camel dick sucking homosexual . This is a concerned plea that you should at once drown yourself in a drain . Fucking fuck off you fag! And if you destroy me with legal action again , I ' ll fucking come over there , tie you to your computer chair and stick my cock up your arse until it bleeds . You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
